Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption
7/24/2017 0:00,24.43,62.15,4.903,0.102,0.107,37538.87043
7/24/2017 0:10,24.26,63.45,4.904,0.066,0.133,36913.75415
7/24/2017 0:20,24.28,64.39,4.906,0.066,0.148,36007.97342
7/24/2017 0:30,24.28,65.19,4.906,0.066,0.141,35344.58472
7/24/2017 0:40,24.09,66.32,4.907,0.095,0.107,34560.0
7/24/2017 0:50,24.05,66.16,4.908,0.088,0.13,33928.50498
7/24/2017 1:00,24.44,58.25,4.903,0.113,0.104,33341.66113
7/24/2017 1:10,24.43,60.19,4.905,0.073,0.144,33086.51163
7/24/2017 1:20,25.15,57.15,4.907,0.084,0.144,32537.9402
7/24/2017 1:30,25.75,50.52,4.905,0.077,0.122,32206.24585
7/24/2017 1:40,26.15,48.52,4.905,0.088,0.126,31778.87043
7/24/2017 1:50,26.31,47.08,4.907,0.084,0.122,31542.85714
7/24/2017 2:00,26.35,47.95,4.904,0.088,0.133,31211.16279
7/24/2017 2:10,25.49,50.15,4.905,0.088,0.115,31243.05648
7/24/2017 2:20,25.53,49.72,4.905,0.095,0.126,30688.10631
7/24/2017 2:30,25.52,49.32,4.907,0.113,0.1,30311.7608
7/24/2017 2:40,24.84,48.78,4.909,0.08,0.093,30241.59468
7/24/2017 2:50,24.4,50.92,4.906,0.113,0.093,30101.26246
7/24/2017 3:00,24.53,52.92,4.904,0.091,0.111,29909.90033
7/24/2017 3:10,24.76,51.82,4.906,0.113,0.115,29935.41528
7/24/2017 3:20,24.72,54.32,4.909,0.099,0.133,30043.85382
7/24/2017 3:30,24.56,55.05,4.907,0.08,0.119,30228.83721
7/24/2017 3:40,24.58,53.45,4.907,0.08,0.107,30471.22924
7/24/2017 3:50,24.66,54.22,4.908,0.124,0.067,30209.701
7/24/2017 4:00,24.67,54.55,4.905,0.084,0.119,29699.40199
7/24/2017 4:10,24.72,52.52,4.909,0.077,0.1,29450.63123
7/24/2017 4:20,24.62,51.19,4.908,0.08,0.148,29303.92027
7/24/2017 4:30,24.97,50.82,4.904,0.055,0.111,28997.74086
7/24/2017 4:40,24.8,52.62,4.904,0.124,0.096,28602.25914
7/24/2017 4:50,24.78,56.49,4.908,0.051,0.13,27077.74086
7/24/2017 5:00,24.52,59.22,4.906,0.099,0.13,25814.75083
7/24/2017 5:10,24.21,60.82,4.908,0.102,0.141,25113.0897
7/24/2017 5:20,24.1,61.26,4.905,0.062,0.104,24564.51827
7/24/2017 5:30,24.07,60.86,4.905,0.099,0.144,24794.15282
7/24/2017 5:40,24.01,60.69,4.904,0.069,0.126,24602.7907
7/24/2017 5:50,24.08,60.36,4.903,0.102,0.13,24577.27575
7/24/2017 6:00,23.79,60.09,4.905,0.311,0.296,25036.54485
7/24/2017 6:10,23.72,60.32,4.907,1.81,1.512,25687.17608
7/24/2017 6:20,23.88,59.52,4.906,5.013,4.083,25846.64452
7/24/2017 6:30,24.11,57.25,4.907,10.09,13.93,26012.49169
7/24/2017 6:40,23.85,59.49,4.908,38.2,36.78,26695.01661
7/24/2017 6:50,23.73,60.82,4.906,63.57,58.46,26931.0299
7/24/2017 7:00,23.64,61.79,4.91,88.8,82.4,27677.34219
7/24/2017 7:10,23.92,60.59,4.908,115.8,108.1,28308.83721
7/24/2017 7:20,24.03,61.23,4.907,143.9,135.0,28793.62126
7/24/2017 7:30,24.11,61.33,4.907,173.9,164.1,28959.46844
7/24/2017 7:40,24.41,60.03,4.906,206.0,195.4,29182.72425
7/24/2017 7:50,24.53,60.13,4.906,239.5,228.3,29425.11628
7/24/2017 8:00,24.86,58.93,4.906,271.2,259.7,30299.00332
7/24/2017 8:10,25.01,59.53,4.905,303.7,291.7,30401.06312
7/24/2017 8:20,25.05,60.33,4.907,336.4,323.9,32104.18605
7/24/2017 8:30,25.27,60.1,4.908,369.2,345.1,32729.30233
7/24/2017 8:40,25.58,57.6,4.907,399.8,272.9,33392.69103
7/24/2017 8:50,25.73,59.0,4.903,431.2,104.8,33832.82392
7/24/2017 9:00,25.7,59.4,4.906,461.8,44.51,34674.81728
7/24/2017 9:10,25.89,59.33,4.907,492.7,37.59,35114.95017
7/24/2017 9:20,26.12,59.03,4.905,522.7,37.19,35165.98007
7/24/2017 9:30,26.53,57.56,4.907,552.1,36.88,36007.97342
7/24/2017 9:40,26.87,55.86,4.904,579.6,36.57,37092.3588
7/24/2017 9:50,27.08,54.76,4.904,606.2,37.25,37921.59468
7/24/2017 10:00,27.3,53.69,4.904,634.3,37.14,38342.59136
7/24/2017 10:10,27.42,53.33,4.907,658.7,36.94,39088.90365
7/24/2017 10:20,27.66,51.86,4.905,681.5,37.62,39592.82392
7/24/2017 10:30,27.75,51.16,4.906,705.0,37.86,39822.45847
7/24/2017 10:40,28.11,51.32,4.906,726.0,39.27,40332.75748
7/24/2017 10:50,28.43,51.16,4.907,746.0,39.43,40651.69435
